eta,gamma,nround,max_depth,error,var_error
0.1,0,100,6,0.17936507936507937,0.019440953662573774
0.1,0,100,9,0.14629629629629629,0.013457014988151321
0.1,0,100,12,0.13657407407407407,0.01181448940105944
0.1,0,300,6,0.14332010582010582,0.013285762939864242
0.1,0,300,9,0.13247354497354497,0.011515209597656454
0.1,0,300,12,0.12916666666666665,0.0107478988365158
0.1,0,500,6,0.13683862433862434,0.01226342412460713
0.1,0,500,9,0.13108465608465608,0.01123882301555578
0.1,0,500,12,0.12791005291005292,0.010895532759651773
0.1,3,100,6,0.19437830687830687,0.021409398162300277
0.1,3,100,9,0.17123015873015873,0.01711026230715623
0.1,3,100,12,0.16203703703703703,0.015608704253289073
0.1,3,300,6,0.19285714285714287,0.02102653795890221
0.1,3,300,9,0.17202380952380952,0.017355532933730253
0.1,3,300,12,0.16236772486772486,0.015125184363551977
0.1,3,500,6,0.1925925925925926,0.02138656384120559
0.1,3,500,9,0.16884920634920636,0.01676338699713251
0.1,3,500,12,0.16276455026455028,0.014703137774987695
0.1,6,100,6,0.21441798941798942,0.02594940191190693
0.1,6,100,9,0.1925925925925926,0.0212424705728487
0.1,6,100,12,0.18406084656084656,0.0189556834784812
0.1,6,300,6,0.2164021164021164,0.026227985801302933
0.1,6,300,9,0.1939153439153439,0.02119223183084539
0.1,6,300,12,0.18346560846560847,0.01963085108272332
0.1,6,500,6,0.21673280423280422,0.026276470837824695
0.1,6,500,9,0.19384920634920635,0.020845966186236443
0.1,6,500,12,0.18406084656084656,0.019126223538065076
0.3,0,100,6,0.14054232804232805,0.01331688985230281
0.3,0,100,9,0.13313492063492063,0.012019692476677257
0.3,0,100,12,0.12916666666666668,0.010495057498656556
0.3,0,300,6,0.1363095238095238,0.012149455883822106
0.3,0,300,9,0.13465608465608467,0.012083531095730016
0.3,0,300,12,0.12903439153439153,0.011331627205959836
0.3,0,500,6,0.13664021164021165,0.012191238260412626
0.3,0,500,9,0.12976190476190474,0.011660991399169571
0.3,0,500,12,0.12605820105820106,0.01050957813336681
0.3,3,100,6,0.18584656084656084,0.01844325357686053
0.3,3,100,9,0.1693121693121693,0.017047145479829415
0.3,3,100,12,0.16316137566137567,0.015143649091981582
0.3,3,300,6,0.18604497354497354,0.019038765910394755
0.3,3,300,9,0.16944444444444443,0.016875713810692763
0.3,3,300,12,0.16316137566137567,0.015800201015631597
0.3,3,500,6,0.18134920634920634,0.01877755123365353
0.3,3,500,9,0.1697089947089947,0.016313227262038366
0.3,3,500,12,0.15833333333333333,0.015158459359751415
0.3,6,100,6,0.21402116402116403,0.026401641022648078
0.3,6,100,9,0.1916005291005291,0.020034887237739236
0.3,6,100,12,0.18267195767195768,0.018330061285272276
0.3,6,300,6,0.21164021164021166,0.024270844827218058
0.3,6,300,9,0.19345238095238096,0.019806868234844646
0.3,6,300,12,0.18095238095238095,0.018205333817679893
0.3,6,500,6,0.21104497354497354,0.02321855065370427
0.3,6,500,9,0.1927910052910053,0.020681437039046627
0.3,6,500,12,0.18194444444444444,0.017904356581911755
0.5,0,100,6,0.13835978835978835,0.011912736187067388
0.5,0,100,9,0.13776455026455026,0.012911682380015416
0.5,0,100,12,0.1332010582010582,0.011964044662029312
0.5,0,300,6,0.13326719576719578,0.011418597281933514
0.5,0,300,9,0.13082010582010584,0.011277886327758715
0.5,0,300,12,0.13035714285714287,0.011545686165400785
0.5,0,500,6,0.1349867724867725,0.011924646821334161
0.5,0,500,9,0.13134920634920635,0.011460989140488632
0.5,0,500,12,0.12956349206349208,0.01084277330227217
0.5,3,100,6,0.18035714285714285,0.018406682525952088
0.5,3,100,9,0.16825396825396827,0.01571944043686559
0.5,3,100,12,0.16534391534391535,0.01414779975176396
0.5,3,300,6,0.1835978835978836,0.018280591105860788
0.5,3,300,9,0.16984126984126985,0.015722882260148313
0.5,3,300,12,0.16964285714285715,0.015354857109926756
0.5,3,500,6,0.18386243386243387,0.01948888766609027
0.5,3,500,9,0.17103174603174603,0.015978807183027473
0.5,3,500,12,0.16600529100529102,0.015911945413541472
0.5,6,100,6,0.2107804232804233,0.022565662713633666
0.5,6,100,9,0.19285714285714287,0.019186271143632985
0.5,6,100,12,0.1792989417989418,0.016930785546400495
0.5,6,300,6,0.2101851851851852,0.02218255754889746
0.5,6,300,9,0.192989417989418,0.019045317798119424
0.5,6,300,12,0.19014550264550265,0.01873370302769806
0.5,6,500,6,0.21355820105820106,0.02288239693900576
0.5,6,500,9,0.19265873015873017,0.019280483806538892
0.5,6,500,12,0.18564814814814815,0.01675384876429534
